parcel_id,authorityname,restriction,restriction_term,zone,landuse
16512,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15405,EMA,river basin,unlimited,Medium Density,National Parks
14084,Epworth Local Board,residential,limited,High Density,Residential
15117,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17351,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15863,Epworth Local Board,residential,limited,High Density,Residential
16469,EMA,wetland,unlimited,Factories,Agriculture
16296,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
15862,CAZ,flightzone,unlimited,Low Density,Agriculture
15550,Epworth Local Board,residential,limited,High Density,Residential
15861,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14085,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15551,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15815,Epworth Local Board,residential,limited,High Density,Industrial
17300,EMA,wetland,unlimited,Factories,Agriculture
16312,EMA,river basin,unlimited,Medium Density,National Parks
14126,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15814,CAZ,flightzone,unlimited,Low Density,Agriculture
14445,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15552,EMA,river basin,unlimited,Medium Density,National Parks
15571,Epworth Local Board,residential,limited,High Density,Residential
16468,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15570,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16456,Epworth Local Board,residential,limited,High Density,Residential
16130,EMA,wetland,unlimited,Factories,Agriculture
15569,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16306,CAZ,flightzone,unlimited,Low Density,Agriculture
17311,Epworth Local Board,residential,limited,High Density,Residential
15260,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15118,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16467,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14059,Epworth Local Board,residential,limited,High Density,Industrial
16214,EMA,wetland,unlimited,Factories,Agriculture
17321,EMA,river basin,unlimited,Medium Density,National Parks
14125,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17348,CAZ,flightzone,unlimited,Low Density,Agriculture
16129,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16466,EMA,river basin,unlimited,Medium Density,National Parks
16457,Epworth Local Board,residential,limited,High Density,Residential
15044,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16519,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16128,Epworth Local Board,residential,limited,High Density,Residential
14444,EMA,wetland,unlimited,Factories,Agriculture
16458,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
14124,CAZ,flightzone,unlimited,Low Density,Agriculture
17302,Epworth Local Board,residential,limited,High Density,Residential
16134,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16127,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14103,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15068,Epworth Local Board,residential,limited,High Density,Industrial
15119,EMA,wetland,unlimited,Factories,Agriculture
15228,EMA,river basin,unlimited,Medium Density,National Parks
16459,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16314,CAZ,flightzone,unlimited,Low Density,Agriculture
16252,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16215,EMA,river basin,unlimited,Medium Density,National Parks
16311,Epworth Local Board,residential,limited,High Density,Residential
14083,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16135,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15120,Epworth Local Board,residential,limited,High Density,Residential
14123,EMA,wetland,unlimited,Factories,Agriculture
17322,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16197,CAZ,flightzone,unlimited,Low Density,Agriculture
16038,Epworth Local Board,residential,limited,High Density,Residential
17347,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14058,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16037,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17339,Epworth Local Board,residential,limited,High Density,Industrial
16136,EMA,wetland,unlimited,Factories,Agriculture
16036,EMA,river basin,unlimited,Medium Density,National Parks
16035,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16251,CAZ,flightzone,unlimited,Low Density,Agriculture
16034,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17350,EMA,river basin,unlimited,Medium Density,National Parks
16460,Epworth Local Board,residential,limited,High Density,Residential
16250,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16137,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16033,Epworth Local Board,residential,limited,High Density,Residential
15362,EMA,wetland,unlimited,Factories,Agriculture
16032,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
14129,CAZ,flightzone,unlimited,Low Density,Agriculture
16248,Epworth Local Board,residential,limited,High Density,Residential
14122,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16315,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16031,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17323,Epworth Local Board,residential,limited,High Density,Industrial
16030,EMA,wetland,unlimited,Factories,Agriculture
15264,EMA,river basin,unlimited,Medium Density,National Parks
14443,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16138,CAZ,flightzone,unlimited,Low Density,Agriculture
15361,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15267,EMA,river basin,unlimited,Medium Density,National Parks
15045,Epworth Local Board,residential,limited,High Density,Residential
15054,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16126,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15227,Epworth Local Board,residential,limited,High Density,Residential
16039,EMA,wetland,unlimited,Factories,Agriculture
15363,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
15268,CAZ,flightzone,unlimited,Low Density,Agriculture
16310,Epworth Local Board,residential,limited,High Density,Residential
15364,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15261,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17346,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16518,Epworth Local Board,residential,limited,High Density,Industrial
14130,EMA,wetland,unlimited,Factories,Agriculture
15365,EMA,river basin,unlimited,Medium Density,National Parks
17341,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15366,CAZ,flightzone,unlimited,Low Density,Agriculture
17310,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17338,EMA,river basin,unlimited,Medium Density,National Parks
15069,Epworth Local Board,residential,limited,High Density,Residential
15367,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15368,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15369,Epworth Local Board,residential,limited,High Density,Residential
14057,EMA,wetland,unlimited,Factories,Agriculture
15370,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
14082,CAZ,flightzone,unlimited,Low Density,Agriculture
15304,Epworth Local Board,residential,limited,High Density,Residential
15305,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14131,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15306,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15372,Epworth Local Board,residential,limited,High Density,Industrial
16253,EMA,wetland,unlimited,Factories,Agriculture
15373,EMA,river basin,unlimited,Medium Density,National Parks
16216,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15374,CAZ,flightzone,unlimited,Low Density,Agriculture
16462,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14133,EMA,river basin,unlimited,Medium Density,National Parks
16196,Epworth Local Board,residential,limited,High Density,Residential
15115,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16144,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16021,Epworth Local Board,residential,limited,High Density,Residential
16023,EMA,wetland,unlimited,Factories,Agriculture
15977,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16024,CAZ,flightzone,unlimited,Low Density,Agriculture
14081,Epworth Local Board,residential,limited,High Density,Residential
14132,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16025,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17334,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15371,Epworth Local Board,residential,limited,High Density,Industrial
14134,EMA,wetland,unlimited,Factories,Agriculture
16229,EMA,river basin,unlimited,Medium Density,National Parks
16026,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
14121,CAZ,flightzone,unlimited,Low Density,Agriculture
16228,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16040,EMA,river basin,unlimited,Medium Density,National Parks
16027,Epworth Local Board,residential,limited,High Density,Residential
16247,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14104,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16028,Epworth Local Board,residential,limited,High Density,Residential
16020,EMA,wetland,unlimited,Factories,Agriculture
15360,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16029,CAZ,flightzone,unlimited,Low Density,Agriculture
17303,Epworth Local Board,residential,limited,High Density,Residential
16139,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17335,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15359,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17337,Epworth Local Board,residential,limited,High Density,Industrial
15991,EMA,wetland,unlimited,Factories,Agriculture
15269,EMA,river basin,unlimited,Medium Density,National Parks
14056,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
14442,CAZ,flightzone,unlimited,Low Density,Agriculture
15358,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17345,EMA,river basin,unlimited,Medium Density,National Parks
15357,Epworth Local Board,residential,limited,High Density,Residential
17342,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15356,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15114,Epworth Local Board,residential,limited,High Density,Residential
15226,EMA,wetland,unlimited,Factories,Agriculture
15355,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16125,CAZ,flightzone,unlimited,Low Density,Agriculture
16517,Epworth Local Board,residential,limited,High Density,Residential
16143,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14441,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16333,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16231,Epworth Local Board,residential,limited,High Density,Industrial
16308,EMA,wetland,unlimited,Factories,Agriculture
16317,EMA,river basin,unlimited,Medium Density,National Parks
17309,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15354,CAZ,flightzone,unlimited,Low Density,Agriculture
16142,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16217,EMA,river basin,unlimited,Medium Density,National Parks
15053,Epworth Local Board,residential,limited,High Density,Residential
15303,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16195,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14080,Epworth Local Board,residential,limited,High Density,Residential
14120,EMA,wetland,unlimited,Factories,Agriculture
15046,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16246,CAZ,flightzone,unlimited,Low Density,Agriculture
16515,Epworth Local Board,residential,limited,High Density,Residential
15353,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16145,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16041,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17336,Epworth Local Board,residential,limited,High Density,Industrial
15262,EMA,wetland,unlimited,Factories,Agriculture
16141,EMA,river basin,unlimited,Medium Density,National Parks
17324,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
14055,CAZ,flightzone,unlimited,Low Density,Agriculture
14106,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16019,EMA,river basin,unlimited,Medium Density,National Parks
15070,Epworth Local Board,residential,limited,High Density,Residential
15352,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15307,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15265,Epworth Local Board,residential,limited,High Density,Residential
15993,EMA,wetland,unlimited,Factories,Agriculture
15266,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16245,CAZ,flightzone,unlimited,Low Density,Agriculture
14140,Epworth Local Board,residential,limited,High Density,Residential
17332,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16255,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15350,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16316,Epworth Local Board,residential,limited,High Density,Industrial
16516,EMA,wetland,unlimited,Factories,Agriculture
14079,EMA,river basin,unlimited,Medium Density,National Parks
15270,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
14135,CAZ,flightzone,unlimited,Low Density,Agriculture
15346,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15263,EMA,river basin,unlimited,Medium Density,National Parks
15990,Epworth Local Board,residential,limited,High Density,Residential
15978,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15347,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16332,Epworth Local Board,residential,limited,High Density,Residential
15348,EMA,wetland,unlimited,Factories,Agriculture
15349,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16140,CAZ,flightzone,unlimited,Low Density,Agriculture
15996,Epworth Local Board,residential,limited,High Density,Residential
16334,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14119,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16001,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15333,Epworth Local Board,residential,limited,High Density,Industrial
15995,EMA,wetland,unlimited,Factories,Agriculture
15994,EMA,river basin,unlimited,Medium Density,National Parks
17304,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17344,CAZ,flightzone,unlimited,Low Density,Agriculture
15139,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15302,EMA,river basin,unlimited,Medium Density,National Parks
14054,Epworth Local Board,residential,limited,High Density,Residential
16146,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16042,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16227,Epworth Local Board,residential,limited,High Density,Residential
16232,EMA,wetland,unlimited,Factories,Agriculture
16218,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
15047,CAZ,flightzone,unlimited,Low Density,Agriculture
16318,Epworth Local Board,residential,limited,High Density,Residential
16147,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16244,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16194,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16018,Epworth Local Board,residential,limited,High Density,Industrial
14440,EMA,wetland,unlimited,Factories,Agriculture
14139,EMA,river basin,unlimited,Medium Density,National Parks
15225,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16233,CAZ,flightzone,unlimited,Low Density,Agriculture
15110,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14439,EMA,river basin,unlimited,Medium Density,National Parks
17325,Epworth Local Board,residential,limited,High Density,Residential
14138,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15052,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14078,Epworth Local Board,residential,limited,High Density,Residential
15989,EMA,wetland,unlimited,Factories,Agriculture
15308,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17330,CAZ,flightzone,unlimited,Low Density,Agriculture
15111,Epworth Local Board,residential,limited,High Density,Residential
17308,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14118,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14137,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15332,Epworth Local Board,residential,limited,High Density,Industrial
16123,EMA,wetland,unlimited,Factories,Agriculture
16331,EMA,river basin,unlimited,Medium Density,National Parks
16081,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16000,CAZ,flightzone,unlimited,Low Density,Agriculture
15112,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15071,EMA,river basin,unlimited,Medium Density,National Parks
14107,Epworth Local Board,residential,limited,High Density,Residential
17329,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15301,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16149,Epworth Local Board,residential,limited,High Density,Residential
15113,EMA,wetland,unlimited,Factories,Agriculture
15997,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
15999,CAZ,flightzone,unlimited,Low Density,Agriculture
16043,Epworth Local Board,residential,limited,High Density,Residential
15334,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16017,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15998,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15335,Epworth Local Board,residential,limited,High Density,Industrial
15336,EMA,wetland,unlimited,Factories,Agriculture
17328,EMA,river basin,unlimited,Medium Density,National Parks
15337,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
14136,CAZ,flightzone,unlimited,Low Density,Agriculture
14141,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14074,EMA,river basin,unlimited,Medium Density,National Parks
16002,Epworth Local Board,residential,limited,High Density,Residential
16256,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15011,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15140,Epworth Local Board,residential,limited,High Density,Residential
14117,EMA,wetland,unlimited,Factories,Agriculture
14109,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16319,CAZ,flightzone,unlimited,Low Density,Agriculture
14115,Epworth Local Board,residential,limited,High Density,Residential
15272,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17327,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17305,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
14075,Epworth Local Board,residential,limited,High Density,Industrial
16234,EMA,wetland,unlimited,Factories,Agriculture
15988,EMA,river basin,unlimited,Medium Density,National Parks
16330,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
14438,CAZ,flightzone,unlimited,Low Density,Agriculture
17326,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15316,EMA,river basin,unlimited,Medium Density,National Parks
16219,Epworth Local Board,residential,limited,High Density,Residential
16122,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16044,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16336,Epworth Local Board,residential,limited,High Density,Residential
16335,EMA,wetland,unlimited,Factories,Residential
16226,ZMM,monument (balancing rocks),unlimited,High Density,Residential
15048,CAZ,flightzone,unlimited,Low Density,Residential
15224,Epworth Local Board,residential,limited,High Density,Residential
16193,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16337,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
14053,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15271,Epworth Local Board,residential,limited,High Density,Residential
16153,EMA,wetland,unlimited,Factories,Residential
15051,EMA,river basin,unlimited,Medium Density,Residential
14076,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16080,CAZ,flightzone,unlimited,Low Density,Residential
16243,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16003,EMA,river basin,unlimited,Medium Density,Residential
16151,Epworth Local Board,residential,limited,High Density,Residential
14051,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16257,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15980,Epworth Local Board,residential,limited,High Density,Residential
16150,EMA,wetland,unlimited,Factories,Residential
15331,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16004,CAZ,flightzone,unlimited,Low Density,Residential
15309,Epworth Local Board,residential,limited,High Density,Residential
16152,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15141,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16320,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
17307,Epworth Local Board,residential,limited,High Density,Residential
15344,EMA,wetland,unlimited,Factories,Residential
15300,EMA,river basin,unlimited,Medium Density,Residential
14142,ZMM,monument (balancing rocks),unlimited,High Density,Residential
15345,CAZ,flightzone,unlimited,Low Density,Residential
16277,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16007,EMA,river basin,unlimited,Medium Density,Residential
16235,Epworth Local Board,residential,limited,High Density,Residential
17306,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14050,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15987,Epworth Local Board,residential,limited,High Density,Residential
16045,EMA,wetland,unlimited,Factories,Residential
14113,ZMM,monument (balancing rocks),unlimited,High Density,Residential
14143,CAZ,flightzone,unlimited,Low Density,Residential
14077,Epworth Local Board,residential,limited,High Density,Residential
15338,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14049,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
14144,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16008,Epworth Local Board,residential,limited,High Density,Residential
16016,EMA,wetland,unlimited,Factories,Residential
16121,EMA,river basin,unlimited,Medium Density,Residential
16225,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16192,CAZ,flightzone,unlimited,Low Density,Residential
15317,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
14437,EMA,river basin,unlimited,Medium Density,Residential
15330,Epworth Local Board,residential,limited,High Density,Residential
14145,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16154,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16015,Epworth Local Board,residential,limited,High Density,Residential
15223,EMA,wetland,unlimited,Factories,Residential
16014,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16013,CAZ,flightzone,unlimited,Low Density,Residential
14146,Epworth Local Board,residential,limited,High Density,Residential
15310,ZMM,monument (balancing rocks),unlimited,Factories,Residential
14048,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15273,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15339,Epworth Local Board,residential,limited,High Density,Residential
16241,EMA,wetland,unlimited,Factories,Residential
14114,EMA,river basin,unlimited,Medium Density,Residential
15329,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16011,CAZ,flightzone,unlimited,Low Density,Residential
16220,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16118,EMA,river basin,unlimited,Medium Density,Residential
15299,Epworth Local Board,residential,limited,High Density,Residential
15142,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15109,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15049,Epworth Local Board,residential,limited,High Density,Residential
15050,EMA,wetland,unlimited,Factories,Residential
15009,ZMM,monument (balancing rocks),unlimited,High Density,Residential
14147,CAZ,flightzone,unlimited,Low Density,Residential
15983,Epworth Local Board,residential,limited,High Density,Residential
16237,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16079,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15986,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16258,Epworth Local Board,residential,limited,High Density,Residential
16078,EMA,wetland,unlimited,Factories,Residential
15985,EMA,river basin,unlimited,Medium Density,Residential
15984,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16119,CAZ,flightzone,unlimited,Low Density,Residential
16005,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16329,EMA,river basin,unlimited,Medium Density,Residential
15318,Epworth Local Board,residential,limited,High Density,Residential
14047,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16120,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16325,Epworth Local Board,residential,limited,High Density,Residential
16006,EMA,wetland,unlimited,Factories,Residential
15328,ZMM,monument (balancing rocks),unlimited,High Density,Residential
15274,CAZ,flightzone,unlimited,Low Density,Residential
16155,Epworth Local Board,residential,limited,High Density,Residential
16117,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15340,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16046,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16191,Epworth Local Board,residential,limited,High Density,Residential
16328,EMA,wetland,unlimited,Factories,Residential
16224,EMA,river basin,unlimited,Medium Density,Residential
14112,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16240,CAZ,flightzone,unlimited,Low Density,Residential
16009,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16221,EMA,river basin,unlimited,Medium Density,Residential
14148,Epworth Local Board,residential,limited,High Density,Residential
14436,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16010,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15298,Epworth Local Board,residential,limited,High Density,Residential
16012,EMA,wetland,unlimited,Factories,Residential
16327,ZMM,monument (balancing rocks),unlimited,High Density,Residential
15222,CAZ,flightzone,unlimited,Low Density,Residential
15008,Epworth Local Board,residential,limited,High Density,Residential
15275,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15143,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16190,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16326,Epworth Local Board,residential,limited,High Density,Residential
15327,EMA,wetland,unlimited,Factories,Residential
14111,EMA,river basin,unlimited,Medium Density,Residential
16222,ZMM,monument (balancing rocks),unlimited,High Density,Residential
15343,CAZ,flightzone,unlimited,Low Density,Residential
15073,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
14150,EMA,river basin,unlimited,Medium Density,Residential
15311,Epworth Local Board,residential,limited,High Density,Residential
16324,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15319,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16238,Epworth Local Board,residential,limited,High Density,Residential
16047,EMA,wetland,unlimited,Factories,Residential
15276,ZMM,monument (balancing rocks),unlimited,High Density,Residential
15341,CAZ,flightzone,unlimited,Low Density,Residential
16048,Epworth Local Board,residential,limited,High Density,Residential
16049,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16077,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16050,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16089,Epworth Local Board,residential,limited,High Density,Residential
16092,EMA,wetland,unlimited,Factories,Residential
14243,EMA,river basin,unlimited,Medium Density,Residential
16051,ZMM,monument (balancing rocks),unlimited,High Density,Residential
14046,CAZ,flightzone,unlimited,Low Density,Residential
14110,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15326,EMA,river basin,unlimited,Medium Density,Residential
15105,Epworth Local Board,residential,limited,High Density,Residential
16185,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16076,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
14435,Epworth Local Board,residential,limited,High Density,Residential
16189,EMA,wetland,unlimited,Factories,Residential
14158,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16239,CAZ,flightzone,unlimited,Low Density,Residential
14151,Epworth Local Board,residential,limited,High Density,Residential
16052,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16116,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16075,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15074,Epworth Local Board,residential,limited,High Density,Residential
16074,EMA,wetland,unlimited,Factories,Residential
16073,EMA,river basin,unlimited,Medium Density,Residential
14235,ZMM,monument (balancing rocks),unlimited,High Density,Residential
14244,CAZ,flightzone,unlimited,Low Density,Residential
15221,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15075,EMA,river basin,unlimited,Medium Density,Residential
15078,Epworth Local Board,residential,limited,High Density,Residential
15277,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16091,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
16090,Epworth Local Board,residential,limited,High Density,Residential
15077,EMA,wetland,unlimited,Factories,Residential
15076,ZMM,monument (balancing rocks),unlimited,High Density,Residential
16115,CAZ,flightzone,unlimited,Low Density,Residential
16223,Epworth Local Board,residential,limited,High Density,Residential
16184,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15325,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15007,ZMM,monument (balancing rocks),unlimited,Low Density,Residential
15144,Epworth Local Board,residential,limited,High Density,Residential
